weekend_date,SerailNum,quantity,channel_encoded,brand_encoded,category_encoded,sub_category_encoded
2022-08-27,5,225,1,0,0,0
2022-08-27,2,209,1,1,2,2
2022-09-03,5,338,1,0,0,0
2022-09-03,2,182,1,1,2,2
2022-09-10,5,1677,1,0,0,0
2022-09-10,2,139,1,1,2,2
2022-09-17,5,611,1,0,0,0
2022-09-17,2,883,1,1,2,2
2022-09-24,5,230,1,0,0,0
2022-09-24,2,536,1,1,2,2
2022-10-01,5,180,1,0,0,0
2022-10-01,2,115,1,1,2,2
2022-10-08,5,182,1,0,0,0
2022-10-08,2,176,1,1,2,2
2022-10-15,5,228,1,0,0,0
2022-10-15,2,202,1,1,2,2
2022-10-22,5,243,1,0,0,0
2022-10-22,2,222,1,1,2,2
2022-10-29,5,256,1,0,0,0
2022-10-29,2,285,1,1,2,2
2022-11-05,5,328,1,0,0,0
2022-11-05,2,250,1,1,2,2
2022-11-12,5,295,1,0,0,0
2022-11-12,2,145,1,1,2,2
2022-11-19,5,285,1,0,0,0
2022-11-19,2,103,1,1,2,2
2022-11-26,5,220,1,0,0,0
2022-11-26,2,119,1,1,2,2
2022-12-03,5,482,1,0,0,0
2022-12-03,2,161,1,1,2,2
2022-12-10,5,1016,1,0,0,0
2022-12-10,2,123,1,1,2,2
2022-12-17,5,186,1,0,0,0
2022-12-17,2,151,1,1,2,2
2022-12-24,5,235,1,0,0,0
2022-12-24,2,125,1,1,2,2
2022-12-31,5,276,1,0,0,0
2022-12-31,2,234,1,1,2,2
2023-01-07,5,295,1,0,0,0
2023-01-07,2,781,1,1,2,2
2023-01-14,5,864,1,0,0,0
2023-01-14,2,720,1,1,2,2
2023-01-21,4,196,1,0,2,3
2023-01-21,5,296,1,0,0,0
2023-01-21,2,137,1,1,2,2
2023-01-28,4,386,1,0,2,3
2023-01-28,5,359,1,0,0,0
2023-01-28,2,116,1,1,2,2
2023-02-04,4,391,1,0,2,3
2023-02-04,5,289,1,0,0,0
2023-02-04,2,156,1,1,2,2
2023-02-11,4,578,1,0,2,3
2023-02-11,5,274,1,0,0,0
2023-02-11,2,139,1,1,2,2
2023-02-18,4,321,1,0,2,3
2023-02-18,5,21,1,0,0,0
2023-02-18,2,141,1,1,2,2
2023-02-25,4,764,1,0,2,3
2023-02-25,5,179,1,0,0,0
2023-02-25,2,155,1,1,2,2
2023-03-04,4,708,1,0,2,3
2023-03-04,5,377,1,0,0,0
2023-03-04,2,204,1,1,2,2
2023-03-11,4,356,1,0,2,3
2023-03-11,5,326,1,0,0,0
2023-03-11,2,216,1,1,2,2
2023-03-18,4,515,1,0,2,3
2023-03-18,5,346,1,0,0,0
2023-03-18,2,212,1,1,2,2
2023-03-25,4,922,1,0,2,3
2023-03-25,5,392,1,0,0,0
2023-03-25,2,161,1,1,2,2
2023-04-01,4,762,1,0,2,3
2023-04-01,5,294,1,0,0,0
2023-04-01,2,133,1,1,2,2
2023-04-08,4,403,1,0,2,3
2023-04-08,5,320,1,0,0,0
2023-04-08,2,226,1,1,2,2
2023-04-15,4,389,1,0,2,3
2023-04-15,5,233,1,0,0,0
2023-04-15,2,191,1,1,2,2
2023-04-22,4,4851,1,0,2,3
2023-04-22,5,69,1,0,0,0
2023-04-22,2,170,1,1,2,2
2023-04-22,4,76,1,1,2,2
2023-04-29,4,3556,1,0,2,3
2023-04-29,5,588,1,0,0,0
2023-04-29,2,188,1,1,2,2
2023-04-29,4,135,1,1,2,2
2023-05-06,4,724,1,0,2,3
2023-05-06,5,198,1,0,0,0
2023-05-06,2,173,1,1,2,2
2023-05-06,4,216,1,1,2,2
2023-05-13,4,626,1,0,2,3
2023-05-13,5,186,1,0,0,0
2023-05-13,2,149,1,1,2,2
2023-05-13,4,255,1,1,2,2
2023-05-20,4,865,1,0,2,3
2023-05-20,5,237,1,0,0,0
2023-05-20,2,148,1,1,2,2
2023-05-20,4,327,1,1,2,2
2023-05-27,4,1053,1,0,2,3
2023-05-27,5,354,1,0,0,0
2023-05-27,2,217,1,1,2,2
2023-05-27,4,514,1,1,2,2
2023-06-03,4,389,1,0,2,3
2023-06-03,5,258,1,0,0,0
2023-06-03,2,785,1,1,2,2
2023-06-03,4,851,1,1,2,2
2023-06-10,4,517,1,0,2,3
2023-06-10,5,270,1,0,0,0
2023-06-10,2,1526,1,1,2,2
2023-06-10,4,1331,1,1,2,2
2023-06-17,4,420,1,0,2,3
2023-06-17,5,362,1,0,0,0
2023-06-17,2,137,1,1,2,2
2023-06-17,4,219,1,1,2,2
2023-06-24,4,344,1,0,2,3
2023-06-24,5,293,1,0,0,0
2023-06-24,2,134,1,1,2,2
2023-06-24,4,379,1,1,2,2
2023-07-01,4,751,1,0,2,3
2023-07-01,5,270,1,0,0,0
2023-07-01,2,137,1,1,2,2
2023-07-01,4,393,1,1,2,2
2023-07-08,4,5329,1,0,2,3
2023-07-08,5,1338,1,0,0,0
2023-07-08,2,171,1,1,2,2
2023-07-08,4,515,1,1,2,2
2023-07-15,4,2507,1,0,2,3
2023-07-15,5,566,1,0,0,0
2023-07-15,2,163,1,1,2,2
2023-07-15,4,466,1,1,2,2
2023-07-22,4,591,1,0,2,3
2023-07-22,5,190,1,0,0,0
2023-07-22,2,129,1,1,2,2
2023-07-22,4,457,1,1,2,2
2023-07-29,4,635,1,0,2,3
2023-07-29,5,172,1,0,0,0
2023-07-29,2,168,1,1,2,2
2023-07-29,4,492,1,1,2,2
2023-08-05,4,708,1,0,2,3
2023-08-05,5,223,1,0,0,0
2023-08-05,2,151,1,1,2,2
2023-08-05,4,331,1,1,2,2
2023-08-12,4,524,1,0,2,3
2023-08-12,5,170,1,0,0,0
2023-08-12,2,136,1,1,2,2
2023-08-12,4,480,1,1,2,2
2023-08-19,4,563,1,0,2,3
2023-08-19,5,194,1,0,0,0
2023-08-19,2,127,1,1,2,2
2023-08-19,4,395,1,1,2,2
2023-08-26,4,505,1,0,2,3
2023-08-26,5,165,1,0,0,0
2023-08-26,2,161,1,1,2,2
